Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
262.0,Sam Hauser,27.0,BOS,PF,59.0,15.0,20.9,2.7,6.2,0.44,2.1,5.3,0.4,0.6,0.9,0.679,0.611,0.1,0.1,1.0,0.7,2.5,3.1,0.9,0.6,0.2,0.3,1.2,7.7,,hausesa01
263.0,Richaun Holmes,31.0,WAS,PF,27.0,7.0,18.0,3.0,4.6,0.659,0.0,0.1,0.0,3.0,4.4,0.675,0.659,1.7,2.0,0.833,2.0,3.9,5.9,1.4,0.3,0.8,0.8,1.6,7.7,,holmeri01
265.0,Lonzo Ball,27.0,CHI,PG,35.0,14.0,22.2,2.5,6.9,0.366,1.9,5.6,0.344,0.6,1.4,0.458,0.504,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,balllo01
266.0,Garrison Mathews,28.0,ATL,SG,45.0,2.0,17.5,2.2,5.4,0.4,1.8,4.6,0.394,0.4,0.8,0.432,0.567,1.4,1.7,0.818,0.3,1.6,1.8,1.3,0.6,0.3,0.6,1.7,7.6,,mathega01
267.0,Goga Bitadze,25.0,ORL,C,58.0,41.0,21.3,3.1,5.0,0.624,0.1,0.4,0.13,3.1,4.6,0.667,0.629,1.2,1.9,0.637,2.4,4.5,6.9,2.0,0.7,1.5,1.1,2.2,7.5,,bitadgo01
269.0,Matas Buzelis,20.0,CHI,SF,66.0,17.0,17.1,2.8,6.3,0.435,1.0,3.0,0.327,1.8,3.3,0.534,0.513,0.9,1.1,0.845,0.7,2.5,3.2,0.8,0.3,0.9,0.8,1.6,7.4,,buzelma01
270.0,Tristan Da Silva,23.0,ORL,SF,65.0,36.0,22.8,2.8,6.6,0.417,1.1,3.4,0.335,1.6,3.2,0.502,0.502,0.8,0.9,0.864,1.0,2.4,3.4,1.5,0.4,0.2,0.8,1.3,7.4,,dasiltr01
271.0,A.J. Green,25.0,MIL,SG,61.0,6.0,22.4,2.5,5.9,0.425,2.1,5.0,0.417,0.4,0.8,0.471,0.603,0.3,0.4,0.833,0.2,2.0,2.2,1.4,0.6,0.1,0.5,2.2,7.4,,greenaj01
272.0,Andre Drummond,31.0,PHI,C,40.0,23.0,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3,,drumman01
273.0,Josh Green,24.0,CHO,SG,62.0,61.0,28.5,2.6,6.2,0.421,1.4,3.7,0.383,1.2,2.5,0.475,0.534,0.7,1.0,0.672,0.9,1.8,2.7,1.6,1.1,0.2,1.0,2.5,7.3,,greenjo02
275.0,Bol Bol,25.0,PHO,PF,32.0,10.0,13.3,2.8,5.5,0.514,0.9,2.8,0.33,1.9,2.7,0.701,0.597,0.6,0.8,0.769,0.6,2.6,3.2,0.6,0.3,0.8,0.6,0.6,7.2,,bolbo01
276.0,Sam Merrill,28.0,CLE,SG,59.0,2.0,19.3,2.4,5.9,0.405,1.9,5.1,0.371,0.5,0.8,0.63,0.566,0.5,0.5,0.966,0.5,1.5,2.0,1.4,0.6,0.2,0.5,1.8,7.2,,merrisa01
