Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
Gradey Dick,TOR,0.41,0.35,0.47,0.498,0.543,14.4,1.8,9.0,6.6,3.0,10.3,0.6,1.5,6.6,0.8,2.8,3.6,0.24,0.504,0.9,0.2,1.5,10.4,21.1,11.0,1.3,0.038,-3.3,-0.5,-1.8,-1.5,0.9,0.3,-6.6,-2.8,$4763760,$9754320,38,32,-6.6,169454647
Guerschon Yabusele,PHI,0.497,0.391,0.599,0.593,0.616,10.5,2.0,11.0,11.9,7.6,16.6,1.3,1.5,11.9,1.9,3.7,5.6,0.242,0.491,0.8,0.4,1.3,13.1,16.0,14.2,3.4,0.098,-1.2,0.3,-0.2,-1.0,0.9,2.4,-2.5,5.2,$2087519,$2087519,22,29,-2.5,169007888
Gui Santos,GSW,0.483,0.37,0.629,0.587,0.608,4.4,1.4,13.6,12.4,9.0,16.0,1.4,1.4,12.4,1.2,2.0,3.2,0.238,0.566,0.4,0.2,0.8,18.6,13.4,11.9,1.4,0.112,-1.7,0.1,-2.1,0.4,0.7,0.7,10.9,9.8,$1891857,$1891857,24,7,10.9,175759694
Harrison Barnes,SAS,0.507,0.432,0.584,0.616,0.648,11.8,1.7,8.5,7.5,5.3,9.8,0.6,0.6,7.5,1.4,2.5,3.9,0.303,0.504,0.4,0.2,0.6,6.0,15.1,14.3,4.3,0.113,-0.5,0.7,1.4,-1.9,0.3,4.0,-2.8,0.0,$18000000,$37000000,24,9,-2.8,161683617
Haywood Highsmith,MIA,0.466,0.388,0.575,0.579,0.592,6.3,1.4,8.0,7.1,3.8,10.4,2.2,1.9,7.1,0.8,2.3,3.1,0.118,0.584,0.9,0.6,0.7,12.1,11.2,9.8,2.5,0.082,-2.1,0.0,-3.0,0.9,1.6,0.9,-0.1,2.8,$5200000,$10816000,16,13,-0.1,173088172
Herbert Jones,NOP,0.436,0.306,0.53,0.5,0.541,10.3,3.3,13.8,6.5,3.5,9.6,1.3,2.8,6.5,1.1,2.8,3.9,0.233,0.419,1.9,0.5,1.8,15.6,14.6,10.4,0.5,0.034,-3.7,-0.3,-3.8,0.2,0.3,0.1,-0.9,10.1,$12976362,$41812722,20,11,-0.9,170268065
Isaac Okoro,CLE,0.44,0.372,0.538,0.549,0.564,5.5,1.4,8.8,6.4,5.2,7.6,1.7,1.5,6.4,0.9,1.4,2.2,0.161,0.585,0.6,0.4,0.5,8.8,12.1,9.8,1.7,0.104,-0.7,0.3,-1.4,0.7,0.8,0.9,15.4,6.0,$10185186,$33000000,7,5,15.4,169080163
Isaiah Hartenstein,OKC,0.578,0.0,0.601,0.578,0.596,11.4,3.9,18.4,20.9,11.3,30.3,3.6,1.3,20.9,2.9,8.2,11.1,0.253,0.037,0.8,1.0,1.7,15.5,16.9,18.8,5.6,0.202,2.9,1.7,0.5,2.4,3.0,2.6,12.8,0.0,$30000000,$58500000,39,19,12.8,164952350
Isaiah Jackson,IND,0.609,,0.609,0.609,0.6,7.0,1.0,8.1,18.8,14.9,22.6,8.6,1.7,18.8,2.2,3.4,5.6,0.609,0.0,0.6,1.6,1.0,14.6,17.6,18.3,0.3,0.148,0.6,0.1,-1.0,1.7,0.1,0.1,6.2,5.2,$4435381,$4435381,2,0,6.2,168569767
Jabari Smith Jr.,HOU,0.431,0.349,0.51,0.517,0.554,12.2,1.0,4.6,11.5,6.2,16.9,2.4,0.6,11.5,1.9,4.8,6.7,0.227,0.493,0.4,0.8,1.0,8.6,16.0,12.1,3.4,0.114,-1.0,0.4,-1.1,0.1,1.9,1.6,5.5,2.2,$9770880,$22121272,23,20,5.5,167805430
Jabari Walker,POR,0.506,0.383,0.569,0.571,0.591,4.7,0.6,7.6,16.1,8.7,23.8,0.9,2.3,16.1,1.0,2.5,3.5,0.295,0.341,0.6,0.1,0.5,10.8,15.8,15.0,1.6,0.129,-0.6,0.2,-1.1,0.5,0.8,0.8,-0.5,4.2,$2019699,$2019699,8,11,-0.5,167086613
Jaden Ivey,DET,0.46,0.409,0.49,0.536,0.569,17.6,4.0,19.7,7.6,5.0,10.2,1.2,1.5,7.6,1.3,2.8,4.1,0.281,0.373,0.9,0.4,3.0,16.1,26.0,14.8,1.3,0.067,-0.1,0.4,0.7,-0.8,0.9,0.3,-3.9,-8.6,$7977240,$18084403,42,28,-3.9,141808220
Jae'Sean Tate,HOU,0.459,0.316,0.515,0.504,0.539,3.6,0.9,10.0,10.9,9.2,12.7,1.0,2.2,10.9,1.0,1.3,2.3,0.333,0.281,0.5,0.1,0.4,10.9,13.5,12.0,1.4,0.131,-1.1,0.1,-2.6,1.4,0.8,0.7,5.4,1.3,$7565217,$7565217,6,5,5.4,167805430
Jaime Jaquez Jr.,MIA,0.445,0.298,0.497,0.484,0.532,8.7,2.6,17.6,11.6,6.3,16.7,0.9,2.2,11.6,1.2,3.3,4.6,0.333,0.26,1.0,0.2,1.5,15.5,19.8,13.5,1.7,0.067,-1.5,0.1,-2.0,0.5,1.5,0.2,-6.7,-8.1,$3685800,$7547400,37,32,-6.7,173088172
