Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
418,Luka Garza,26,MIN,C,33,0,6.1,1.4,3.0,.459,0.3,1.1,.257,1.1,1.9,.571,.505,0.6,0.9,.677,0.9,0.6,1.5,0.3,0.2,0.1,0.3,0.8,3.6,,garzalu01
419,Oso Ighodaro,22,PHO,PF,48,2,15.0,1.6,2.6,.603,0.0,0.0,.000,1.6,2.6,.613,.603,0.5,0.9,.561,0.9,2.5,3.3,1.0,0.4,0.4,0.6,1.6,3.6,,ighodos01
420,Andre Jackson Jr.,23,MIL,SG,59,43,15.4,1.5,3.1,.467,0.5,1.3,.392,1.0,1.9,.518,.546,0.2,0.3,.556,1.0,1.9,2.9,1.3,0.5,0.2,0.9,1.8,3.6,,jacksan01
421,Duop Reath,28,POR,C,37,0,8.6,1.2,3.2,.393,0.7,2.2,.305,0.6,0.9,.600,.500,0.4,0.5,.889,0.6,1.0,1.6,0.5,0.2,0.3,0.3,0.7,3.6,,reathdu01
422,Jae'Sean Tate,29,HOU,SF,47,2,11.3,1.3,2.9,.459,0.3,0.8,.316,1.1,2.1,.515,.504,0.7,1.0,.689,1.0,1.3,2.3,0.9,0.5,0.1,0.4,1.6,3.6,,tateja01
423,Steven Adams,31,HOU,C,49,2,12.6,1.4,2.7,.522,0.0,0.0,.000,1.4,2.7,.526,.522,0.7,1.6,.423,2.7,2.6,5.3,1.2,0.3,0.4,0.9,0.9,3.5,,adamsst01
424,Dario Šarić,30,DEN,C,15,4,13.5,1.3,3.7,.339,0.5,1.7,.269,0.8,2.0,.400,.402,0.5,0.7,.700,0.9,2.3,3.3,1.5,0.5,0.1,0.9,1.2,3.5,,saricda01
425,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,,fernabr01
426,Collin Gillespie,25,PHO,PG,20,1,8.0,1.2,2.7,.434,0.6,1.4,.407,0.6,1.3,.462,.538,0.5,0.6,.909,0.6,0.9,1.5,1.5,0.2,0.2,0.3,0.9,3.4,,gilleco01
427,Jamal Cain,25,NOP,SF,27,0,11.4,1.1,2.9,.390,0.5,1.7,.311,0.6,1.2,.500,.481,0.6,0.9,.625,0.7,1.3,2.0,0.6,0.5,0.3,0.4,1.0,3.3,,cainja01
428,DeAndre Jordan,36,DEN,C,46,2,11.5,1.5,2.3,.651,0.0,0.0,,1.5,2.3,.651,.651,0.3,0.8,.405,1.4,3.3,4.7,0.8,0.3,0.4,0.7,1.2,3.3,,jordade01
429,Damion Lee,32,PHO,SG,18,0,6.1,1.1,3.0,.352,0.3,1.5,.222,0.7,1.5,.481,.407,0.9,0.9,.941,0.1,0.7,0.8,0.5,0.2,0.0,0.4,0.3,3.3,,leeda03
430,Zeke Nnaji,24,DEN,PF,48,3,10.4,1.3,2.4,.526,0.3,0.8,.325,1.0,1.6,.632,.582,0.4,0.7,.618,0.6,1.0,1.6,0.3,0.4,0.6,0.3,1.1,3.3,,nnajize01
431,Jalen Pickett,25,DEN,SG,36,0,11.1,1.3,3.1,.423,0.6,1.7,.377,0.7,1.4,.480,.527,0.1,0.1,1.000,0.2,0.9,1.1,1.8,0.3,0.1,0.5,0.7,3.3,,pickeja02
432,Nae'Qwan Tomlin,24,CLE,PF,3,0,4.7,1.3,2.7,.500,0.0,0.7,.000,1.3,2.0,.667,.500,0.7,1.0,.667,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,3.3,,tomlina01
433,Elijah Harkless,24,UTA,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,,harklej01
434,Caleb Houstan,22,ORL,SF,45,5,11.6,1.0,2.8,.367,0.9,2.4,.355,0.2,0.4,.444,.520,0.3,0.3,.929,0.3,0.6,0.9,0.4,0.3,0.1,0.1,1.0,3.2,,houstca01
435,Cam Reddish,25,LAL,SF,32,8,17.7,1.2,2.8,.420,0.4,1.4,.283,0.8,1.3,.571,.494,0.5,0.8,.615,0.5,1.5,1.9,0.7,1.0,0.3,0.4,1.3,3.2,,reddica01
436,Jackson Rowe,28,GSW,PF,5,0,8.6,1.2,3.0,.400,0.4,1.8,.222,0.8,1.2,.667,.467,0.4,0.8,.500,0.0,1.6,1.6,0.6,0.6,0.0,0.2,0.8,3.2,,roweja01
437,Doug McDermott,33,SAC,SF,36,3,7.9,1.1,2.5,.418,0.9,2.2,.423,0.1,0.4,.385,.599,0.1,0.1,.600,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.8,3.1,,mcderdo01
438,JT Thor,22,2TM,PF,10,0,5.0,1.0,1.8,.556,0.4,0.8,.500,0.6,1.0,.600,.667,0.7,0.8,.875,0.6,0.5,1.1,0.1,0.2,0.3,0.6,0.7,3.1,,thorjt01
438,JT Thor,22,CLE,PF,9,0,4.7,1.0,1.7,.600,0.3,0.7,.500,0.7,1.0,.667,.700,0.8,0.9,.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,,thorjt01
438,JT Thor,22,WAS,PF,1,0,8.0,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,.500,0.0,0.0,,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,,thorjt01
439,Tony Bradley,27,IND,C,6,0,5.2,1.5,1.8,.818,0.0,0.0,,1.5,1.8,.818,.818,0.0,0.3,.000,1.2,1.0,2.2,0.5,0.2,0.5,0.5,0.3,3.0,,bradlto01
440,Taj Gibson,39,CHO,C,27,11,11.3,1.3,2.6,.486,0.0,0.1,.500,1.2,2.5,.485,.493,0.4,0.6,.688,1.5,2.0,3.6,0.6,0.3,0.4,0.7,1.6,3.0,,gibsota01
