Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,ORB,DRB,TRB,ORB%,DRB%,STL,BLK,STL%,BLK%,DBPM,TOV,TOV%,USG%,BPM,WS/48,VORP,PER
Julian Strawther,DEN,0.434,0.357,0.531,0.534,0.563,9.4,1.3,7.6,0.3,1.9,2.2,1.4,9.0,0.6,0.2,1.3,1.0,-1.5,0.9,10.1,17.7,-4.6,0.044,-0.9,9.5
Julius Randle,MIN,0.474,0.325,0.546,0.527,0.584,18.7,4.7,22.6,2.2,4.9,7.1,7.5,16.6,0.7,0.2,1.0,0.6,-0.4,2.8,15.0,25.3,1.0,0.129,1.4,17.4
Justin Edwards,PHI,0.45,0.348,0.575,0.546,0.557,8.6,1.4,8.5,1.0,2.1,3.1,4.5,10.0,0.9,0.3,1.7,1.3,-1.6,0.9,10.2,15.3,-3.8,0.045,-0.4,10.5
Karlo Matković,NOP,0.556,0.333,0.638,0.601,0.627,6.4,0.9,7.2,1.6,3.2,4.8,9.5,19.8,0.5,1.0,1.3,5.4,-0.3,1.0,16.9,14.3,-3.1,0.082,-0.2,14.2
Keegan Murray,SAC,0.44,0.333,0.564,0.53,0.546,12.3,1.4,5.5,2.0,4.8,6.8,6.5,15.4,0.8,0.8,1.1,2.4,-1.0,0.8,6.8,15.0,-2.1,0.078,-0.1,11.6
Keldon Johnson,SAS,0.486,0.332,0.573,0.546,0.58,12.6,1.5,9.6,1.4,3.2,4.5,6.2,14.3,0.6,0.2,1.3,0.9,-1.7,1.0,8.2,21.3,-1.6,0.085,0.1,15.4
Kelly Oubre Jr.,PHI,0.47,0.293,0.555,0.518,0.551,15.1,1.8,8.0,1.6,4.5,6.1,5.1,15.6,1.5,0.5,2.2,1.4,-0.6,1.3,8.9,19.0,-2.2,0.066,-0.1,13.6
Kenrich Williams,OKC,0.48,0.367,0.597,0.573,0.588,5.6,1.2,10.6,0.9,2.4,3.3,6.8,16.6,0.6,0.1,1.9,0.8,1.0,0.5,10.2,15.0,0.6,0.153,0.5,13.6
Kentavious Caldwell-Pope,ORL,0.428,0.319,0.585,0.522,0.556,8.7,1.8,8.5,0.4,1.7,2.1,1.3,7.0,1.3,0.5,2.2,1.5,1.4,0.8,9.6,12.5,-2.2,0.083,-0.1,9.2
Keon Ellis,SAC,0.484,0.43,0.6,0.631,0.656,8.2,1.4,7.7,0.7,1.7,2.5,3.6,8.4,1.4,0.8,3.0,3.3,1.8,0.8,11.5,13.2,1.9,0.125,1.5,13.8
Keon Johnson,BRK,0.379,0.307,0.453,0.457,0.486,10.2,2.0,13.4,0.9,2.9,3.7,4.0,14.4,1.0,0.4,2.2,1.7,-0.2,1.3,11.0,21.6,-3.5,0.013,-0.6,10.3
Kevon Looney,GSW,0.514,0.0,0.52,0.514,0.529,4.8,1.6,14.8,2.6,3.8,6.4,17.8,26.9,0.7,0.5,2.0,3.0,1.1,0.6,11.4,14.0,0.1,0.179,0.5,17.3
Keyonte George,UTA,0.395,0.343,0.462,0.491,0.542,16.8,5.8,28.0,0.4,3.4,3.8,1.4,11.5,0.7,0.2,1.1,0.5,-2.2,2.8,15.4,24.4,-2.1,0.036,0.0,13.3
Kobe Bufkin,ATL,0.383,0.211,0.5,0.426,0.483,5.3,1.7,18.4,0.5,1.6,2.1,4.3,14.5,0.3,0.2,1.1,1.5,-0.6,0.8,12.7,20.8,-4.1,0.018,-0.1,10.6
Kris Dunn,LAC,0.425,0.299,0.551,0.5,0.504,6.0,3.0,16.8,0.8,2.7,3.5,3.8,12.4,1.8,0.4,3.7,1.6,3.5,1.0,14.8,12.7,0.4,0.098,0.9,11.1
