Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
67,Tim Hardaway Jr.,32,DET,SG,65,65,1828,0,42,56,2,0,0.7,-3.8,23,12,42,4,43,40,247,13,17,,hardati02
68,Deni Avdija,24,POR,SF,63,45,1828,0,25,54,20,1,-3.3,1.4,93,46,91,12,156,8,552,42,52,,avdijde01
69,Malik Monk,26,SAC,SG,56,43,1828,52,48,1,0,0,2.5,3.4,86,36,99,9,70,18,763,20,50,,monkma01
70,Jaren Jackson Jr.,25,MEM,C,62,62,1825,0,0,0,45,55,8.6,6.1,37,52,113,25,168,10,335,45,73,,jacksja02
71,Scottie Barnes,23,TOR,PF,54,54,1822,0,0,24,74,2,-3.8,3.0,88,43,44,16,116,9,738,23,34,,barnesc01
72,Evan Mobley,23,CLE,PF,60,60,1816,0,0,0,49,51,13.4,5.7,36,44,84,13,135,6,477,38,44,,mobleev01
73,Myles Turner,28,IND,C,59,59,1808,0,0,0,0,100,3.3,4.7,35,29,87,25,94,1,217,22,35,,turnemy01
74,Luguentz Dort,25,OKC,SF,62,62,1807,0,0,18,69,14,13.1,0.7,18,12,78,9,24,51,237,8,20,,dortlu01
75,Kyrie Irving,32,DAL,SG,50,50,1804,29,66,5,0,0,2.2,5.7,65,32,48,9,92,5,541,25,40,,irvinky01
76,Desmond Bane,26,MEM,SG,57,56,1803,4,65,28,3,0,5.0,-1.9,69,42,62,18,65,4,757,19,64,,banede01
77,Taurean Prince,30,MIL,SF,67,60,1797,0,13,72,14,0,-0.4,-4.8,39,19,70,4,12,17,312,4,21,,princta02
78,Jaylen Wells,21,MEM,SG,69,64,1796,0,23,69,8,0,3.8,-4.5,23,28,53,3,50,34,275,15,30,,wellsja01
79,Josh Giddey,22,CHI,PG,60,60,1781,66,33,1,0,0,-2.5,0.8,108,39,63,4,76,4,985,15,54,,giddejo01
80,Max Christie,21,2TM,SG,65,35,1768,2,63,35,0,0,-1.0,-3.2,32,29,61,4,57,5,312,14,37,,chrisma02
80,Max Christie,21,LAL,SG,46,25,1154,3,71,26,0,0,0.6,-2.5,17,17,44,3,45,4,166,13,18,,chrisma02
80,Max Christie,21,DAL,SG,19,10,614,0,46,53,0,0,-4.1,-4.5,15,12,17,1,12,1,146,1,19,,chrisma02
81,Josh Green,24,CHO,SG,62,61,1764,1,50,45,4,0,-9.6,-2.8,33,10,61,13,28,20,242,4,23,,greenjo02
82,Nickeil Alexander-Walker,26,MIN,SG,70,10,1763,26,60,14,0,0,6.2,3.9,62,16,68,3,32,34,422,9,20,,alexani01
83,Fred VanVleet,30,HOU,PG,50,50,1757,92,9,0,0,0,5.9,3.3,46,17,53,10,37,10,668,7,18,,vanvlfr01
84,Russell Westbrook,36,DEN,PG,62,33,1748,100,0,0,0,0,0.9,-7.6,136,41,63,10,80,8,853,16,42,,westbru01
85,Jalen Wilson,24,BRK,PF,68,16,1746,0,2,29,55,14,-6.8,-0.5,30,24,80,11,50,3,322,8,34,,wilsoja03
86,Spencer Dinwiddie,31,DAL,PG,67,20,1739,82,18,1,0,0,-3.3,-6.1,52,11,52,12,96,17,622,25,18,,dinwisp01
87,Jordan Poole,25,WAS,SG,57,57,1739,35,62,3,0,0,-13.8,-5.1,92,55,73,13,91,19,618,15,62,,poolejo01
88,CJ McCollum,33,NOP,PG,53,53,1735,81,19,0,0,0,-7.9,2.4,60,28,58,4,70,3,506,14,38,,mccolcj01
89,Dennis Schröder,31,3TM,PG,63,41,1733,84,16,0,0,0,-1.8,-0.4,76,33,59,10,55,29,837,11,49,,schrode01
89,Dennis Schröder,31,BRK,PG,23,23,772,100,0,0,0,0,-1.0,7.3,38,12,23,4,26,14,381,7,24,,schrode01
89,Dennis Schröder,31,GSW,SG,24,18,628,57,43,0,0,0,-8.8,-14.4,29,13,22,6,13,7,267,1,22,,schrode01
89,Dennis Schröder,31,DET,PG,16,0,333,100,0,0,0,0,9.7,8.1,9,8,14,0,16,8,189,3,3,,schrode01
90,Yves Missi,20,NOP,C,64,58,1721,0,0,0,10,90,-11.7,-5.5,36,21,86,8,89,2,197,18,61,,missiyv01
91,Miles Bridges,26,CHO,PF,53,53,1714,0,0,7,82,11,-6.1,4.8,58,40,45,7,108,5,491,30,65,,bridgmi02
92,RJ Barrett,24,TOR,SF,52,52,1713,0,11,62,26,0,-4.5,1.3,95,43,80,6,147,13,691,30,74,,barrerj01
93,Jalen Duren,21,DET,C,66,66,1709,0,0,0,0,100,1.8,-1.4,59,28,123,26,95,2,389,23,45,,durenja01
94,Stephon Castle,20,SAS,PG,66,32,1700,29,69,3,0,0,-3.1,-0.8,69,37,63,9,125,10,561,28,47,,castlst01
95,Amir Coffey,27,LAC,SG,67,13,1698,0,16,63,21,1,-1.1,-8.3,18,14,61,5,56,9,182,10,27,,coffeam01
