Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
296,DaQuan Jeffries,27,CHO,SG,33,9,704,8.0,.509,.575,.091,4.3,9.7,6.9,7.6,1.3,2.7,10.2,12.9,0.1,0.4,0.5,.034,-4.2,-0.6,-4.8,-0.5,,jeffrda01
297,Jaden Hardy,22,DAL,SG,46,3,697,9.9,.540,.482,.195,1.3,9.6,5.5,13.5,1.5,0.6,15.8,24.8,-0.7,0.4,-0.3,-0.022,-3.2,-1.8,-5.0,-0.5,,hardyja02
298,Lindy Waters III,27,2TM,SG,46,9,693,8.6,.500,.733,.050,2.6,13.0,7.6,9.1,1.7,1.4,8.1,14.9,0.0,0.8,0.8,.056,-3.4,0.4,-3.0,-0.2,,waterli01
298,Lindy Waters III,27,GSW,SG,38,9,655,8.4,.498,.722,.054,2.5,13.4,7.8,8.7,1.6,1.4,7.5,14.6,0.0,0.8,0.8,.057,-3.5,0.4,-3.1,-0.2,,waterli01
298,Lindy Waters III,27,DET,SG,8,0,38,10.9,.531,.875,.000,2.9,5.7,4.4,14.5,3.8,0.0,15.8,21.1,0.0,0.1,0.0,.042,-2.3,1.3,-1.0,0.0,,waterli01
299,Drew Eubanks,27,2TM,C,50,4,685,15.8,.622,.034,.379,8.9,23.4,16.2,10.7,0.8,5.0,14.8,14.9,1.0,0.6,1.6,.112,-1.0,0.5,-0.5,0.3,,eubandr01
299,Drew Eubanks,27,UTA,C,37,4,568,15.9,.632,.034,.393,7.7,24.1,16.0,11.6,0.8,5.3,15.4,14.7,0.8,0.5,1.3,.107,-0.8,0.9,0.1,0.3,,eubandr01
299,Drew Eubanks,27,LAC,C,13,0,117,14.8,.577,.031,.313,14.5,20.0,17.3,6.1,0.4,3.4,12.1,15.4,0.2,0.2,0.3,.135,-1.9,-1.3,-3.2,0.0,,eubandr01
300,Jamison Battle,23,TOR,SF,46,4,674,11.3,.600,.751,.061,4.4,12.1,8.2,7.6,0.4,1.1,6.4,15.6,0.9,0.3,1.2,.083,0.2,-1.6,-1.4,0.1,,battlja01
301,Bruce Brown,28,2TM,PG,32,4,669,10.2,.485,.257,.216,4.9,14.2,9.4,12.5,2.0,0.6,11.3,17.2,-0.1,0.4,0.3,.022,-4.1,-0.6,-4.7,-0.5,,brownbr01
301,Bruce Brown,28,TOR,PG,18,0,353,12.5,.525,.275,.221,5.1,15.9,10.4,11.4,2.3,0.8,11.7,19.4,0.1,0.4,0.4,.056,-2.7,0.0,-2.7,-0.1,,brownbr01
301,Bruce Brown,28,NOP,PG,14,4,316,7.6,.428,.231,.209,4.6,12.3,8.3,13.7,1.7,0.3,10.8,14.8,-0.2,0.1,-0.1,-0.016,-5.7,-1.3,-7.0,-0.4,,brownbr01
302,Aaron Holiday,28,HOU,PG,52,3,667,11.8,.587,.655,.182,1.7,9.1,5.3,13.7,1.2,0.9,11.5,16.5,0.9,0.7,1.7,.120,-0.9,0.3,-0.5,0.2,,holidaa01
303,Kelly Olynyk,33,2TM,C,35,13,665,15.0,.603,.322,.356,7.1,19.6,13.2,20.9,1.7,2.0,18.5,18.4,0.8,0.6,1.4,.098,-1.0,0.5,-0.5,0.3,,olynyke01
303,Kelly Olynyk,33,TOR,C,24,2,383,15.1,.624,.364,.364,7.0,18.4,12.6,20.9,2.0,2.0,20.4,18.8,0.4,0.4,0.9,.108,-0.7,0.7,0.1,0.2,,olynyke01
303,Kelly Olynyk,33,NOP,C,11,11,282,14.9,.574,.264,.345,7.4,21.4,14.1,20.9,1.2,2.0,15.9,17.8,0.3,0.1,0.5,.083,-1.4,0.2,-1.1,0.1,,olynyke01
304,Jared Butler,24,2TM,SG,46,6,659,16.3,.557,.329,.252,2.9,10.1,6.4,35.8,1.5,1.4,13.8,23.8,0.8,0.2,1.1,.078,1.0,-1.4,-0.4,0.3,,butleja02
304,Jared Butler,24,WAS,PG,32,0,362,17.7,.562,.233,.256,4.0,7.8,5.9,38.6,1.6,1.2,12.9,25.9,0.5,0.1,0.6,.082,2.2,-1.2,1.0,0.3,,butleja02
304,Jared Butler,24,PHI,SG,14,6,297,14.7,.550,.482,.245,1.5,12.9,6.9,32.5,1.5,1.7,15.3,21.2,0.3,0.1,0.5,.073,-0.4,-1.7,-2.1,0.0,,butleja02
305,Herbert Jones,26,NOP,SF,20,20,648,10.4,.541,.419,.233,3.5,9.6,6.5,13.8,2.8,1.3,15.6,14.6,0.1,0.3,0.5,.034,-3.8,0.2,-3.7,-0.3,,joneshe01
306,Marcus Sasser,24,DET,PG,49,0,646,13.3,.582,.533,.138,2.6,6.8,4.7,22.9,2.2,0.6,14.7,18.2,0.8,0.7,1.5,.110,-0.7,0.3,-0.5,0.3,,sassema01
307,Alec Burks,33,MIA,SG,36,4,637,12.1,.587,.729,.232,2.3,14.4,8.4,9.2,1.7,0.9,7.6,14.7,0.6,0.7,1.3,.097,-0.7,0.6,-0.1,0.3,,burksal01
308,Maxi Kleber,33,DAL,PF,34,4,637,5.7,.489,.510,.219,4.3,11.7,8.1,8.3,0.7,2.3,17.9,8.6,0.0,0.3,0.3,.024,-4.2,0.4,-3.8,-0.3,,klebima01
309,Jay Huff,26,MEM,C,54,2,636,17.9,.668,.672,.188,4.1,14.2,9.2,7.1,0.9,6.6,9.5,19.3,1.4,0.8,2.2,.164,2.6,1.0,3.6,0.9,,huffja01
310,Jericho Sims,26,2TM,C,53,5,632,10.0,.639,.000,.183,12.9,21.8,17.4,6.4,0.8,2.8,30.1,7.5,0.5,0.7,1.3,.097,-3.1,0.0,-3.1,-0.2,,simsje01
310,Jericho Sims,26,NYK,C,39,5,422,9.9,.619,.000,.283,14.0,20.8,17.5,6.3,0.9,2.2,28.9,7.5,0.4,0.4,0.8,.096,-3.2,-0.3,-3.6,-0.2,,simsje01
310,Jericho Sims,26,MIL,C,14,0,210,10.1,.680,.000,.000,10.7,23.7,17.4,6.7,0.5,4.0,32.4,7.7,0.1,0.3,0.4,.098,-3.0,0.7,-2.2,0.0,,simsje01
311,Kyle Lowry,38,PHI,PG,33,12,623,10.1,.530,.748,.297,1.9,10.4,6.0,19.7,2.5,1.6,13.7,10.2,0.6,0.4,1.0,.077,-2.6,1.4,-1.2,0.1,,lowryky01
312,Daniel Theis,32,NOP,C,38,9,621,12.1,.558,.287,.287,7.4,21.5,14.2,13.0,1.4,3.1,14.7,11.5,0.6,0.4,1.0,.078,-3.3,-0.1,-3.3,-0.2,,theisda01
313,Jett Howard,21,ORL,SF,55,0,618,7.4,.477,.722,.087,3.5,8.9,6.1,10.2,1.0,1.6,10.2,18.8,-0.5,0.7,0.2,.015,-3.6,-0.9,-4.5,-0.4,,howarje01
314,Steven Adams,31,HOU,C,49,2,618,16.6,.514,.007,.582,22.3,21.9,22.1,12.8,1.3,3.0,20.3,14.0,0.6,1.0,1.7,.131,0.1,0.3,0.4,0.4,,adamsst01
315,Jaylin Williams,22,OKC,PF,38,6,618,14.5,.535,.711,.110,7.0,27.7,17.5,17.4,1.2,4.1,12.1,14.2,0.8,1.3,2.2,.168,0.4,2.5,2.9,0.8,,willija07
316,Gui Santos,22,GSW,PF,44,2,610,11.9,.608,.566,.238,9.0,16.0,12.4,13.6,1.4,1.4,18.6,13.4,0.7,0.7,1.4,.112,-2.1,0.4,-1.7,0.1,,santogu01
317,Chet Holmgren,22,OKC,C,22,22,598,20.5,.602,.346,.397,7.1,26.1,16.8,9.7,1.4,9.4,12.7,22.3,0.8,1.5,2.3,.184,1.2,2.3,3.5,0.8,,holmgch01
318,Brandon Ingram,27,NOP,SF,18,18,595,16.2,.560,.345,.165,3.0,15.6,9.0,26.8,1.3,1.8,16.2,30.2,-0.1,0.2,0.0,.004,1.4,-1.7,-0.3,0.3,,ingrabr01
