Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
Georges Niang,119.67,107.3,12.37,-2.4,2.8,-2.1,12.42,0,0,5,91,4,0.644,0.097
Giannis Antetokounmpo,119.67,107.3,12.37,9.2,8.8,8.6,12.42,0,0,0,70,30,0.04,0.514
Goga Bitadze,119.67,107.3,12.37,4.5,4.9,2.5,12.42,0,0,0,0,100,0.079,0.39
Gradey Dick,119.67,107.3,12.37,-2.8,1.3,-3.3,12.42,1,42,51,6,0,0.504,0.24
Grant Williams,119.67,107.3,12.37,10.8,0.7,-1.6,12.42,0,0,8,84,8,0.602,0.301
Grayson Allen,119.67,107.3,12.37,0.0,2.6,0.2,12.42,36,64,0,0,0,0.739,0.236
Guerschon Yabusele,119.67,107.3,12.37,5.2,3.4,-1.2,12.42,0,0,0,26,74,0.491,0.242
Gui Santos,119.67,107.3,12.37,9.8,1.4,-1.7,12.42,0,1,9,79,11,0.566,0.238
Harrison Barnes,119.67,107.3,12.37,0.0,4.3,-0.5,12.42,0,0,27,71,2,0.504,0.303
Haywood Highsmith,119.67,107.3,12.37,2.8,2.5,-2.1,12.42,0,1,53,46,0,0.584,0.118
Herbert Jones,119.67,107.3,12.37,10.1,0.5,-3.7,12.42,0,0,15,81,4,0.419,0.233
Hunter Tyson,119.67,107.3,12.37,-18.5,0.3,-5.2,12.42,0,0,24,74,2,0.648,0.261
Immanuel Quickley,119.67,107.3,12.37,2.5,1.9,1.7,12.42,93,7,0,0,0,0.511,0.319
Isaac Okoro,119.67,107.3,12.37,6.0,1.7,-0.7,12.42,0,25,70,6,0,0.585,0.161
Isaiah Collier,119.67,107.3,12.37,-2.0,-0.9,-5.8,12.42,66,34,0,0,0,0.295,0.257
Isaiah Hartenstein,119.67,107.3,12.37,0.0,5.6,2.9,12.42,0,0,0,0,100,0.037,0.253
Isaiah Jackson,119.67,107.3,12.37,5.2,0.3,0.6,12.42,0,0,0,0,100,0.0,0.609
Isaiah Joe,119.67,107.3,12.37,3.0,3.7,0.9,12.42,33,67,0,0,0,0.786,0.089
Isaiah Stewart,119.67,107.3,12.37,-2.7,3.8,0.4,12.42,0,0,0,1,99,0.163,0.289
Ivica Zubac,119.67,107.3,12.37,12.9,9.2,2.5,12.42,0,0,0,0,100,0.0,0.247
Ja Morant,119.67,107.3,12.37,2.3,3.1,2.1,12.42,100,0,0,0,0,0.31,0.386
Ja'Kobe Walter,119.67,107.3,12.37,1.6,0.5,-4.1,12.42,18,72,11,0,0,0.456,0.217
Jabari Smith Jr.,119.67,107.3,12.37,2.2,3.4,-1.0,12.42,0,0,2,85,13,0.493,0.227
Jabari Walker,119.67,107.3,12.37,4.2,1.6,-0.6,12.42,0,0,19,66,15,0.341,0.295
Jaden Hardy,119.67,107.3,12.37,-1.9,-0.3,-5.0,12.42,12,68,20,0,0,0.482,0.195
Jaden Ivey,119.67,107.3,12.37,-8.6,1.3,-0.1,12.42,7,76,18,0,0,0.373,0.281
Jaden McDaniels,119.67,107.3,12.37,-2.1,5.9,0.5,12.42,0,0,76,23,1,0.377,0.153
Jaden Springer,119.67,107.3,12.37,-1.1,0.5,-1.1,12.42,18,62,20,0,0,0.528,0.585
Jae Crowder,119.67,107.3,12.37,-7.6,0.1,-4.4,12.42,0,0,75,25,0,0.706,0.353
Jae'Sean Tate,119.67,107.3,12.37,1.3,1.4,-1.1,12.42,3,43,51,3,0,0.281,0.333
Jahlil Okafor,119.67,107.3,12.37,79.2,0.0,7.5,12.42,0,0,0,0,100,,
Jaime Jaquez Jr.,119.67,107.3,12.37,-8.1,1.7,-1.5,12.42,2,32,56,10,0,0.26,0.333
Jake LaRavia,119.67,107.3,12.37,3.0,2.7,0.2,12.42,0,1,48,48,3,0.417,0.344
Jakob Poeltl,119.67,107.3,12.37,7.8,4.9,1.8,12.42,0,0,0,0,100,0.006,0.261
Jalen Brunson,119.67,107.3,12.37,-6.4,8.2,3.3,12.42,100,0,0,0,0,0.321,0.373
Jalen Duren,119.67,107.3,12.37,-1.4,7.7,2.9,12.42,0,0,0,0,100,0.0,0.423
Jalen Green,119.67,107.3,12.37,-7.3,4.6,0.8,12.42,28,71,2,0,0,0.47,0.221
Jalen Hood-Schifino,119.67,107.3,12.37,2.2,0.2,-1.3,12.42,0,56,44,0,0,0.586,0.207
Jalen Johnson,119.67,107.3,12.37,5.7,2.4,1.7,12.42,0,0,9,91,0,0.26,0.232
Jalen McDaniels,119.67,107.3,12.37,26.7,0.0,5.4,12.42,0,0,60,33,7,,
Jalen Pickett,119.67,107.3,12.37,1.8,0.5,-2.6,12.42,55,44,1,0,0,0.55,0.018
Jalen Smith,119.67,107.3,12.37,0.2,2.5,0.5,12.42,0,0,0,1,99,0.565,0.218
Jalen Suggs,119.67,107.3,12.37,3.3,1.0,0.3,12.42,91,9,0,0,0,0.503,0.229
Jalen Williams,119.67,107.3,12.37,-6.9,6.9,4.0,12.42,0,8,57,34,1,0.298,0.246
Jalen Wilson,119.67,107.3,12.37,-0.5,1.4,-4.4,12.42,0,2,29,55,14,0.571,0.261
Jamal Murray,119.67,107.3,12.37,5.3,5.9,0.8,12.42,56,44,0,0,0,0.359,0.221
Jamal Shead,119.67,107.3,12.37,-7.0,0.3,-4.6,12.42,100,0,0,0,0,0.444,0.119
James Harden,119.67,107.3,12.37,3.8,6.1,3.5,12.42,49,51,0,0,0,0.529,0.45
James Johnson,119.67,107.3,12.37,-12.7,-0.1,-10.0,12.42,0,0,52,49,0,0.273,0.091
James Wiseman,119.67,107.3,12.37,-24.7,0.0,1.4,12.42,0,0,0,0,100,0.25,0.5
Jamison Battle,119.67,107.3,12.37,-6.6,1.2,-1.4,12.42,0,21,54,26,0,0.751,0.061
Jarace Walker,119.67,107.3,12.37,-12.6,0.8,-1.8,12.42,0,0,21,68,10,0.506,0.225
Jared Butler,119.67,107.3,12.37,2.2,1.1,-0.4,12.42,87,13,0,0,0,0.329,0.252
Jared McCain,119.67,107.3,12.37,2.4,0.8,0.3,12.42,13,86,1,0,0,0.485,0.204
Jaren Jackson Jr.,119.67,107.3,12.37,6.1,6.0,3.1,12.42,0,0,0,45,55,0.312,0.347
Jarred Vanderbilt,119.67,107.3,12.37,0.7,1.1,0.2,12.42,0,0,7,62,31,0.355,0.303
Jarrett Allen,119.67,107.3,12.37,2.1,10.1,4.4,12.42,0,0,0,0,100,0.006,0.431
Javonte Green,119.67,107.3,12.37,-1.9,1.7,-2.0,12.42,16,49,34,1,0,0.496,0.289
