Player,2024-25,2025-26,Guaranteed
Keegan Murray,$8809560,$11144093,$19953653
Kel'el Ware,$4231800,$4443360,$8675160
Keldon Johnson,$19000000,$17500000,$54000000
Kelly Olynyk,$12804878,$13445122,$26250000
Kelly Oubre Jr.,$7983000,$8382150,$7983000
Kenrich Williams,$6669000,$7163000,$13832000
Kentavious Caldwell-Pope,$22757000,$21621500,$44378500
Keon Ellis,$2120693,$2301587,$2120693
Keon Johnson,$2162606,$2349578,$2162606
Keshad Johnson,$724883,$1955377,$724883
Kevin Durant,$51179021,$54708609,$105887630
Kevin Huerter,$16830357,$17991071,$34821428
Kevin Love,$3850000,$4150000,$8000000
Kevin Porter Jr.,$3237691,$2546675,$2237691
Kevon Looney,$8000000,,$8000000
Keyonte George,$4084200,$4278960,$8363160
Khris Middleton,$31000000,$33296296,$31000000
Klay Thompson,$15873016,$16666667,$50000000
Kobe Brown,$2533920,$2654880,$5188800
Kobe Bufkin,$4299000,$4503720,$8802720
Kris Dunn,$5168000,$5426400,$10594400
Kris Murray,$2990040,$3132000,$6122040
Kristaps Porziņģis,$29268293,$30731707,$60000000
Kyle Anderson,$8780488,$9219512,$18000000
Kyle Filipowski,$3000000,$3000000,$6000000
Kyle Kuzma,$24456061,$22410605,$67211818
Kyle Lowry,$2087519,,$2087519
Kyrie Irving,$41000000,$43962963,$41000000
Kyshawn George,$2825520,$2966760,$5792280
LaMelo Ball,$35147000,$37958760,$203852600
Landry Shamet,$1343690,,$1343690
Larry Nance Jr.,$11205000,,$11205000
Lauri Markkanen,$42176400,$46394100,$238044544
LeBron James,$48728845,$52627153,$48728845
Leonard Miller,$1891857,$2221677,$1891857
Lindy Waters III,$2196970,,$2196970
Lonzo Ball,$21395348,$10000000,$31395348
Luguentz Dort,$16500000,$17722222,$34222222
Luka Dončić,$43031940,$45999660,$89031600
Luka Garza,$2162606,$2349578,$2162606
Luke Kennard,$9250000,,$9250000
Luke Kornet,$2087519,,$2087519
Malaki Branham,$3217920,$4962033,$8179953
Malcolm Brogdon,$22500000,,$22500000
Malevy Leons,$126356,,$126356
Malik Beasley,$6000000,,$6000000
