Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact,Team,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,NRtg,Value_per_Dollar,Cap_Impact_Score,2024-25_Payroll,2025-26_Payroll,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
Jaden Ivey,DET,8.594230653539204e-08,2.18,1.4143701191396942,0.1124981752321864,1.4143701191396985,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Jae Crowder,SAC,1.5719054682998314e-08,0.7,-0.5905473036843514,-0.0009915644528828,-0.5905473036843538,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
Jae'Sean Tate,HOU,1.0269189293016497e-07,4.4,-6.0199981218153145,-0.1076590711749412,-6.006316307902098,HOU,-0.480399667,-0.6747285685,-0.6854528499999999,-0.1858344485,0.573914184,0.0604561245,-0.060980035,114.51,110.12,4.4,2.0538378586032998e-07,-0.2153181423498824,335610860,376101610,4,4,4
Jalen Duren,DET,8.594230653539204e-08,2.18,-7.885597801689218,0.1124981752321864,-7.885597801689242,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Jalen McDaniels,WAS,-3.812903225806452e-07,-11.82,3.7112692995587886,0.0839763438473104,3.7112692995587855,WAS,-0.5149114985,-0.2075487255,-1.0399190754999998,1.39127153,-0.0555400825,2.56405094,-0.944615254,106.89,118.71,-11.82,-7.625806451612904e-07,0.1679526876946208,335366626,309385558,3,1,3
Javonte Green,CLE,2.74739712032483e-07,10.09,-8.922824502038234,-0.1851725223475906,-8.922824502038225,CLE,0.0212477215,-0.3594622107499999,-0.38551989025,-0.0773179825,-0.314727133,0.06045612475,-0.30950244,122.38,112.29,10.09,1.098958848129932e-06,-0.7406900893903624,676320652,830016992,4,4,2
Jaxson Hayes,LAL,1.8879987818303512e-08,0.92,-0.9511914166182168,-0.0064306956196978,-0.9408523794810586,LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.4011228166666666,-0.2619765406666666,0.15992877,115.06,114.15000000000002,0.92,5.6639963454910547e-08,-0.0192920868590934,564066459,567717276,0,5,4
Jaylen Nowell,NOP,-2.5132284856886204e-07,-9.23,-12.76054790518926,-0.0016979828681875,-12.760547905189268,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
Jeremiah Robinson-Earl,NOP,-2.5132284856886204e-07,-9.23,13.646498604452574,-0.0016979828681875,13.64649860445258,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
John Collins,UTA,-1.7877296307887828e-07,-7.54,-6.304638772514859,0.0214512147058481,-6.313000362398828,UTA,0.30491737575,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.4636783765,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
Jonathan Kuminga,GSW,4.37580127377423e-08,2.44,1.345102256277722,0.0308099399106433,1.3451022562777208,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Jordan Clarkson,UTA,-1.7877296307887828e-07,-7.54,-4.156586480464764,0.0214512147058481,-4.162099194629835,UTA,0.30491737575,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.4636783765,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
Josh Giddey,CHI,-1.1871739594981116e-07,-2.54,-4.016226834012277,0.2304328125079025,-4.016226834012264,CHI,-0.1300427606666666,0.0299844659999999,0.4203605876666667,1.2899894946666668,-0.24684481,-0.7551088526666666,-0.5212067113333333,113.62,116.16,-2.54,-3.561521878494335e-07,0.6912984375237076,497758062,404539002,2,2,1
Josh Minott,MIN,1.0632572827533785e-07,4.66,-25.11255057161123,0.0649632690242837,-25.11255057161121,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Julius Randle,MIN,1.0632572827533785e-07,4.66,3.295433796227526,0.0649632690242837,3.2954337962275235,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Kevon Looney,GSW,4.37580127377423e-08,2.44,-3.812449592268048,0.0308099399106433,-3.812449592268044,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Kristaps Porziņģis,BOS,1.833117234147194e-07,9.02,6.218830958109107,-0.1426859100071145,6.218830958109114,BOS,-0.3609598125,-0.125794205,-0.25373116525,-0.67054133225,-0.42580729775,-0.3093931092499999,0.891689186,120.43,111.41,9.02,7.332468936588776e-07,-0.570743640028458,773345792,902056552,4,4,2
Landry Shamet,NYK,8.433965101675008e-08,4.15,-5.677952773984899,-0.040417405870822,-5.677952773984906,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Larry Nance Jr.,ATL,-4.020269595096108e-08,-1.73,4.954686385822059,0.1595899003749404,4.95468638582207,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Luka Garza,MIN,1.0632572827533785e-07,4.66,2.920064024346266,0.0649632690242837,2.920064024346264,MIN,0.6761762563333334,0.0275117886666666,0.265849669,0.1903559681666666,-0.067882323,-0.1671434038333333,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
Luke Kennard,MEM,1.3559997680096784e-07,4.98,-11.804433224112064,0.2015567868838852,-11.804433224112074,MEM,0.5169231175,0.6160089895,-0.0946758084999999,0.6678284205,-0.2962137725,-0.224043286,-0.5027976445,117.9,112.92,4.98,2.711999536019357e-07,0.4031135737677704,326482586,271716318,0,5,4
Luke Kornet,BOS,1.833117234147194e-07,9.02,-6.968438436612542,-0.1426859100071145,-6.96843843661255,BOS,-0.3609598125,-0.125794205,-0.25373116525,-0.67054133225,-0.42580729775,-0.3093931092499999,0.891689186,120.43,111.41,9.02,7.332468936588776e-07,-0.570743640028458,773345792,902056552,4,4,2
